Country,Last_Update,Confirmed,Deaths,Recovered,Incident_Rate,Active,Case_Fatality_Ratio,Continent
Afghanistan,2021-03-19 5:26:09,56044,2462,49664,143.9670907,3918,4.392976947,Asia
Albania,2021-03-19 5:26:09,119528,2106,83264,4153.450553,34158,1.761930259,Europe
Algeria,2021-03-19 5:26:09,115842,3051,80347,264.1715956,32444,2.633759776,Africa
Andorra,2021-03-19 5:26:09,11393,113,10904,14745.35689,376,0.991837093,Europe
Angola,2021-03-19 5:26:09,21558,522,20032,65.59308772,1004,2.421374896,Africa
Antigua and Barbuda,2021-03-19 5:26:09,1008,27,598,1029.327669,383,2.678571429,Americas
Argentina,2021-03-19 5:26:09,2226753,54386,2009877,4926.905007,162490,2.442390332,Americas
Armenia,2021-03-19 5:26:09,181165,3301,167186,6113.759494,10678,1.822095879,Asia
Australia,2021-03-19 5:26:09,29183,909,22963,73.58419456,5311,3.114827125,Oceania
Austria,2021-03-19 5:26:09,504581,8982,465984,5602.471576,29615,1.780090808,Europe
Azerbaijan,2021-03-19 5:26:09,243424,3314,231894,2400.826497,8216,1.361410543,Asia
Bahamas,2021-03-19 5:26:09,8800,186,7676,2237.773619,938,2.113636364,Americas
Bahrain,2021-03-19 5:26:09,133779,491,126703,7862.032002,6585,0.3670232249,Asia
Bangladesh,2021-03-19 5:26:09,564939,8624,517223,343.0330418,39092,1.526536493,Asia
Barbados,2021-03-19 5:26:09,3492,39,3285,1215.15393,168,1.116838488,Americas
Belarus,2021-03-19 5:26:09,306524,2130,297502,3243.87329,6892,0.6948884916,Europe
Belgium,2021-03-19 5:26:09,807390,0,0,7311.726811,807390,0,Europe
Belize,2021-03-19 5:26:09,12399,316,12024,3118.296066,59,2.548592628,Americas
Benin,2021-03-19 5:26:09,6501,81,5552,53.62446444,868,1.24596216,Africa
Bhutan,2021-03-19 5:26:09,868,1,867,112.4917705,0,0.1152073733,Asia
Bolivia,2021-03-19 5:26:09,262941,12028,209842,2252.551587,41071,4.574410229,South America
Bosnia and Herzegovina,2021-03-19 5:26:09,149891,5729,122680,4568.712347,21482,3.822110734,Europe
Botswana,2021-03-19 5:26:09,35493,458,31128,1509.296763,3907,1.290395289,Africa
Brazil,2021-03-19 5:26:09,11780820,287499,10383496,6919.207117,1109825,2.440398886,Americas
Brunei,2021-03-19 5:26:09,203,3,186,46.40180304,14,1.477832512,Asia
Bulgaria,2021-03-19 5:26:09,295777,11817,232041,4256.736579,51919,3.995239657,Europe
Burkina Faso,2021-03-19 5:26:09,12450,145,11998,59.56003647,307,1.164658635,Africa
Burma,2021-03-19 5:26:09,142212,3204,131754,261.3720611,7254,2.252974433,Asia
Burundi,2021-03-19 5:26:09,2542,3,773,21.37790613,1766,0.1180173092,Africa
Cabo Verde,2021-03-19 5:26:09,16298,158,15646,2931.358231,494,0.9694441036,Africa
Cambodia,2021-03-19 5:26:09,1578,1,917,9.43837991,660,0.06337135615,Asia
Cameroon,2021-03-19 5:26:09,40622,601,35261,153.0257218,4760,1.47949387,Africa
Canada,2021-03-19 5:26:09,928257,22576,873589,1358.983919,32092,2.43208508,Americas
Central African Republic,2021-03-19 5:26:09,5075,64,4938,105.077598,73,1.261083744,Africa
Chad,2021-03-19 5:26:09,4380,157,3864,26.66527212,359,3.584474886,Africa
Chile,2021-03-19 5:26:09,911418,21987,854776,5703.950433,34655,2.412394752,Americas
China,2021-03-19 5:26:09,101481,4839,96152,9.930107836,490,4.768380288,Asia
Colombia,2021-03-19 5:26:09,2319293,61636,2216945,3788.519879,40712,2.657533999,Americas
Comoros,2021-03-19 5:26:09,3657,146,3465,420.5405965,46,3.992343451,Africa
Congo (Brazzaville),2021-03-19 5:26:09,9564,134,7514,173.3207783,1916,1.401087411,Africa
Congo (Kinshasa),2021-03-19 5:26:09,27290,726,24361,30.47071482,2203,2.660315134,Africa
Costa Rica,2021-03-19 5:26:09,210447,2886,189682,4131.179632,17879,1.371366662,Americas
Cote d'Ivoire,2021-03-19 5:26:09,38923,215,35923,147.5570332,2785,0.5523726331,Africa
Croatia,2021-03-19 5:26:09,254507,5726,242665,6199.522175,6116,2.249839887,Europe
Cuba,2021-03-19 5:26:09,64414,384,60378,568.6958929,3652,0.5961436955,Americas
Cyprus,2021-03-19 5:26:09,41111,241,2057,3405.029647,38813,0.5862178006,Asia
Czechia,2021-03-19 5:26:09,1439019,24117,1215544,13437.49574,199358,1.675933396,Europe
Denmark,2021-03-19 5:26:09,224107,2398,212650,1754.826269,9059,1.070024586,Europe
Djibouti,2021-03-19 5:26:09,6452,63,6022,653.0351153,367,0.9764414135,Africa
Dominica,2021-03-19 5:26:09,156,0,141,216.6937534,15,0,Americas
Dominican Republic,2021-03-19 5:26:09,247979,3257,204188,2285.962339,40534,1.313417668,Americas
Ecuador,2021-03-19 5:26:09,307429,16333,263164,1742.492515,27932,5.312771404,Americas
Egypt,2021-03-19 5:26:09,193482,11472,148823,189.068382,33187,5.929233727,Africa
El Salvador,2021-03-19 5:26:09,62531,1962,59576,964.0620141,993,3.137643729,Americas
Equatorial Guinea,2021-03-19 5:26:09,6666,100,6121,475.1298125,445,1.500150015,Africa
Eritrea,2021-03-19 5:26:09,3095,7,2833,87.27093494,255,0.2261712439,Africa
Estonia,2021-03-19 5:26:09,91031,758,64690,6862.293532,25583,0.8326833716,Europe
Eswatini,2021-03-19 5:26:09,17267,664,15936,1488.324065,667,3.845485608,Africa
Ethiopia,2021-03-19 5:26:09,181869,2602,145349,158.1970527,33918,1.430700119,Africa
Fiji,2021-03-19 5:26:09,67,2,64,7.47397495,1,2.985074627,Oceania
Finland,2021-03-19 5:26:09,69497,805,46000,1254.295923,22692,1.158323381,Europe
France,2021-03-19 5:26:09,4241973,91833,285055,3776.187122,3865085,2.164865264,Europe
Gabon,2021-03-19 5:26:09,17297,105,15102,777.1389855,2090,0.6070416835,Africa
Gambia,2021-03-19 5:26:09,5122,160,4686,211.9450615,276,3.123779774,Africa
Georgia,2021-03-19 5:26:09,276436,3674,269384,6929.653374,3378,1.329059891,Asia
Germany,2021-03-19 5:26:09,2630002,74402,2405600,3088.493152,150000,2.828971233,Europe
