Country,Last_Update,Confirmed,Deaths,Recovered,Incident_Rate,Active,Case_Fatality_Ratio
Afghanistan,2021-03-19 05:26:09,56044,2462,49664.0,143.96709071162314,3918.0,4.3929769466847475
Albania,2021-03-19 05:26:09,119528,2106,83264.0,4153.4505525053855,34158.0,1.7619302590188073
Algeria,2021-03-19 05:26:09,115842,3051,80347.0,264.1715956448288,32444.0,2.633759776246957
Andorra,2021-03-19 05:26:09,11393,113,10904.0,14745.356888630042,376.0,0.9918370929518125
Angola,2021-03-19 05:26:09,21558,522,20032.0,65.59308772142916,1004.0,2.4213748956303927
Antigua and Barbuda,2021-03-19 05:26:09,1008,27,598.0,1029.3276693080632,383.0,2.6785714285714284
Argentina,2021-03-19 05:26:09,2226753,54386,2009877.0,4926.905007076214,162490.0,2.442390332470642
Armenia,2021-03-19 05:26:09,181165,3301,167186.0,6113.759493850301,10678.0,1.822095879446913
Australia,2021-03-19 05:26:09,29183,909,22963.0,73.58419456248973,5311.0,3.114827125381215
Austria,2021-03-19 05:26:09,504581,8982,465984.0,5602.471575768343,29615.0,1.7800908080169486
Azerbaijan,2021-03-19 05:26:09,243424,3314,231894.0,2400.826497224873,8216.0,1.3614105429209937
Bahamas,2021-03-19 05:26:09,8800,186,7676.0,2237.7736186833754,938.0,2.1136363636363638
Bahrain,2021-03-19 05:26:09,133779,491,126703.0,7862.03200196523,6585.0,0.3670232248708691
Bangladesh,2021-03-19 05:26:09,564939,8624,517223.0,343.0330417838775,39092.0,1.5265364933205179
Barbados,2021-03-19 05:26:09,3492,39,3285.0,1215.1539299372591,168.0,1.1168384879725086
Belarus,2021-03-19 05:26:09,306524,2130,297502.0,3243.8732899432666,6892.0,0.6948884916026151
Belgium,2021-03-19 05:26:09,807390,0,0.0,7311.7268105215035,807390.0,0.0
Belize,2021-03-19 05:26:09,12399,316,12024.0,3118.2960658516527,59.0,2.5485926284377776
Benin,2021-03-19 05:26:09,6501,81,5552.0,53.62446443586915,868.0,1.2459621596677435
Bhutan,2021-03-19 05:26:09,868,1,867.0,112.4917704753166,0.0,0.1152073732718894
Bolivia,2021-03-19 05:26:09,262941,12028,209842.0,2252.55158708164,41071.0,4.5744102289106685
Bosnia and Herzegovina,2021-03-19 05:26:09,149891,5729,122680.0,4568.712347389292,21482.0,3.8221107337998945
Botswana,2021-03-19 05:26:09,35493,458,31128.0,1509.2967628767344,3907.0,1.2903952892119572
Brazil,2021-03-19 05:26:09,11780820,287499,10383496.0,6919.20711692674,1109825.0,2.44039888564633
Brunei,2021-03-19 05:26:09,203,3,186.0,46.40180304148962,14.0,1.477832512315271
Bulgaria,2021-03-19 05:26:09,295777,11817,232041.0,4256.736579191459,51919.0,3.9952396569036805
Burkina Faso,2021-03-19 05:26:09,12450,145,11998.0,59.56003646892128,307.0,1.1646586345381527
Burma,2021-03-19 05:26:09,142212,3204,131754.0,261.37206106679986,7254.0,2.2529744325373384
Burundi,2021-03-19 05:26:09,2542,3,773.0,21.377906127444447,1766.0,0.11801730920535011
Cabo Verde,2021-03-19 05:26:09,16298,158,15646.0,2931.358230753182,494.0,0.9694441035709903
Cambodia,2021-03-19 05:26:09,1578,1,917.0,9.43837990986407,660.0,0.06337135614702154
Cameroon,2021-03-19 05:26:09,40622,601,35261.0,153.02572182242778,4760.0,1.4794938703165772
Canada,2021-03-19 05:26:09,928257,22576,873589.0,1358.983919192092,32092.0,2.4320850798862814
Central African Republic,2021-03-19 05:26:09,5075,64,4938.0,105.07759799443616,73.0,1.2610837438423645
Chad,2021-03-19 05:26:09,4380,157,3864.0,26.66527211757997,359.0,3.584474885844749
